ticker,weight,sector,risk_score,profile
GAS,0.02,Industrial,4.023148148148149,Risk-Taking
TCB,0.020000000000000386,Banking,6.040740740740741,Risk-Taking
HDB,0.3,Banking,4.437962962962963,Risk-Taking
VIC,0.02,RealEstate,6.54537037037037,Risk-Taking
VND,0.3,Technology,6.181481481481482,Risk-Taking
MSN,0.020000000000000188,Consumer,6.564814814814815,Risk-Taking
HPG,0.27999999999999936,Industrial,5.226851851851851,Risk-Taking
MWG,0.02000000000000005,Consumer,5.801851851851851,Risk-Taking
SAB,0.020000000000000257,Consumer,3.5314814814814817,Risk-Taking
GAS,0.3333333333333333,Industrial,4.023148148148149,Prudent
HDB,0.3333333333333333,Banking,4.437962962962963,Prudent
SAB,0.3333333333333333,Consumer,3.5314814814814817,Prudent
GAS,0.1,Industrial,4.023148148148149,Equal-Weight
TCB,0.1,Banking,6.040740740740741,Equal-Weight
HDB,0.1,Banking,4.437962962962963,Equal-Weight
VIC,0.1,RealEstate,6.54537037037037,Equal-Weight
VND,0.1,Technology,6.181481481481482,Equal-Weight
MSN,0.1,Consumer,6.564814814814815,Equal-Weight
HPG,0.1,Industrial,5.226851851851851,Equal-Weight
VHM,0.1,RealEstate,7.149074074074075,Equal-Weight
MWG,0.1,Consumer,5.801851851851851,Equal-Weight
SAB,0.1,Consumer,3.5314814814814817,Equal-Weight
